node_id,C,H,O,N,S,Cl,exp_mass,DBE,AImod,NOSC,O_C,H_C,N/C,S/C,Cl/C,DBE-O,DBE/C
289.054264,15,14,4,0,1,0,289.054264,9,0.5,-0.266666667,0.266666667,0.933333333,0,0.066666667,0,5,0.6
325.049374,15,15,6,0,0,1,325.049374,8,0.416666667,-0.2,0.4,1,0,0,0.066666667,2,0.533333333
270.125258,15,17,2,3,0,0,270.125258,9,0.454545455,-0.266666667,0.133333333,1.133333333,0.2,0,0,7,0.6
329.080145,15,19,6,0,0,1,329.080145,6,0.25,-0.466666667,0.4,1.266666667,0,0,0.066666667,0,0.4
246.150208,15,21,2,1,0,0,246.150208,6,0.307692308,-0.933333333,0.133333333,1.4,0.066666667,0,0,4,0.4
342.101839,15,21,6,1,1,0,342.101839,6,0.1,-0.266666667,0.4,1.4,0.066666667,0.066666667,0,0,0.4
331.095786,15,21,6,0,0,1,331.095786,5,0.166666667,-0.6,0.4,1.4,0,0,0.066666667,-1,0.333333333
292.166952,15,23,3,3,0,0,292.166952,6,0.142857143,-0.533333333,0.2,1.533333333,0.2,0,0,3,0.4
248.165907,15,23,2,1,0,0,248.165907,5,0.230769231,-1.066666667,0.133333333,1.533333333,0.066666667,0,0,3,0.333333333
397.091197,15,23,10,0,0,1,397.091197,4,-0.1,-0.2,0.666666667,1.533333333,0,0,0.066666667,-6,0.266666667
413.086323,15,23,11,0,0,1,413.086323,4,-0.157894737,-0.066666667,0.733333333,1.533333333,0,0,0.066666667,-7,0.266666667
317.116473,15,23,5,0,0,1,317.116473,4,0.12,-0.866666667,0.333333333,1.533333333,0,0,0.066666667,-1,0.266666667
423.125923,15,24,12,2,0,0,423.125923,5,-0.428571429,0.4,0.8,1.6,0.133333333,0,0,-7,0.333333333
279.17173,15,24,3,2,0,0,279.17173,5,0.130434783,-0.8,0.2,1.6,0.133333333,0,0,2,0.333333333
327.138829,15,24,4,2,1,0,327.138829,5,0,-0.533333333,0.266666667,1.6,0.133333333,0.066666667,0,1,0.333333333
451.132777,15,24,12,4,0,0,451.132777,6,-0.8,0.8,0.8,1.6,0.266666667,0,0,-6,0.4
355.162613,15,24,6,4,0,0,355.162613,6,-0.125,0,0.4,1.6,0.266666667,0,0,0,0.4
326.172576,15,25,5,3,0,0,326.172576,5,-0.052631579,-0.4,0.333333333,1.666666667,0.2,0,0,0,0.333333333
343.154078,15,25,3,4,0,1,343.154078,5,-0.052631579,-0.466666667,0.2,1.666666667,0.266666667,0,0.066666667,2,0.333333333
399.107229,15,25,10,0,0,1,399.107229,3,-0.2,-0.333333333,0.666666667,1.666666667,0,0,0.066666667,-7,0.2
415.101618,15,25,11,0,0,1,415.101618,3,-0.263157895,-0.2,0.733333333,1.666666667,0,0,0.066666667,-8,0.2
431.096868,15,25,12,0,0,1,431.096868,3,-0.333333333,-0.066666667,0.8,1.666666667,0,0,0.066666667,-9,0.2
393.152267,15,26,10,2,0,0,393.152267,4,-0.375,0,0.666666667,1.733333333,0.133333333,0,0,-6,0.266666667
361.162173,15,26,8,2,0,0,361.162173,4,-0.222222222,-0.266666667,0.533333333,1.733333333,0.133333333,0,0,-4,0.266666667
377.15573,15,26,9,2,0,0,377.15573,4,-0.294117647,-0.133333333,0.6,1.733333333,0.133333333,0,0,-5,0.266666667
453.148439,15,26,12,4,0,0,453.148439,5,-1,0.666666667,0.8,1.733333333,0.266666667,0,0,-7,0.333333333
429.107618,15,26,12,0,1,0,429.107618,3,-0.5,0,0.8,1.733333333,0,0.066666667,0,-9,0.2
348.13148,15,27,4,1,2,0,348.13148,3,-0.2,-0.8,0.266666667,1.8,0.066666667,0.133333333,0,-1,0.2
300.18197,15,27,5,1,0,0,300.18197,3,-0.043478261,-0.933333333,0.333333333,1.8,0.066666667,0,0,-2,0.2
332.154069,15,27,5,1,1,0,332.154069,3,-0.142857143,-0.8,0.333333333,1.8,0.066666667,0.066666667,0,-2,0.2
364.126696,15,27,5,1,2,0,364.126696,3,-0.263157895,-0.666666667,0.333333333,1.8,0.066666667,0.133333333,0,-2,0.2
316.176996,15,27,6,1,0,0,316.176996,3,-0.090909091,-0.8,0.4,1.8,0.066666667,0,0,-3,0.2
348.149036,15,27,6,1,1,0,348.149036,3,-0.2,-0.666666667,0.4,1.8,0.066666667,0.066666667,0,-3,0.2
364.160306,15,27,9,1,0,0,364.160306,3,-0.263157895,-0.4,0.6,1.8,0.066666667,0,0,-6,0.2
401.122567,15,27,10,0,0,1,401.122567,2,-0.3,-0.466666667,0.666666667,1.8,0,0,0.066666667,-8,0.133333333
417.117171,15,27,11,0,0,1,417.117171,2,-0.368421053,-0.333333333,0.733333333,1.8,0,0,0.066666667,-9,0.133333333
433.112383,15,27,12,0,0,1,433.112383,2,-0.444444444,-0.2,0.8,1.8,0,0,0.066666667,-10,0.133333333
395.166328,15,28,10,2,0,0,395.166328,3,-0.5,-0.133333333,0.666666667,1.866666667,0.133333333,0,0,-7,0.2
379.171115,15,28,9,2,0,0,379.171115,3,-0.411764706,-0.266666667,0.6,1.866666667,0.133333333,0,0,-6,0.2
303.163892,15,28,4,0,1,0,303.163892,2,-0.083333333,-1.2,0.266666667,1.866666667,0,0.066666667,0,-2,0.133333333
347.184596,15,29,3,4,0,1,347.184596,3,-0.263157895,-0.733333333,0.2,1.933333333,0.266666667,0,0.066666667,0,0.2
403.138581,15,29,10,0,0,1,403.138581,1,-0.4,-0.6,0.666666667,1.933333333,0,0,0.066666667,-9,0.066666667
387.143506,15,29,9,0,0,1,387.143506,1,-0.333333333,-0.733333333,0.6,1.933333333,0,0,0.066666667,-8,0.066666667
321.192451,15,30,7,0,0,0,321.192451,1,-0.217391304,-1.066666667,0.466666667,2,0,0,0,-6,0.066666667
311.050083,16,12,3,2,1,0,311.050083,12,0.652173913,0.125,0.1875,0.75,0.125,0.0625,0,9,0.75
267.048849,16,12,2,0,1,0,267.048849,11,0.642857143,-0.375,0.125,0.75,0,0.0625,0,9,0.6875
375.09543,16,16,7,4,0,0,375.09543,11,0.411764706,0.625,0.4375,1,0.25,0,0,4,0.6875
362.082109,16,17,5,3,1,0,362.082109,10,0.368421053,0.25,0.3125,1.0625,0.1875,0.0625,0,5,0.625
382.043168,16,17,6,1,2,0,382.043168,9,0.3,0.125,0.375,1.0625,0.0625,0.125,0,3,0.5625
361.115877,16,18,6,4,0,0,361.115877,10,0.333333333,0.375,0.375,1.125,0.25,0,0,4,0.625
337.075728,16,18,6,0,1,0,337.075728,8,0.333333333,-0.25,0.375,1.125,0,0.0625,0,2,0.5
284.14073,16,19,2,3,0,0,284.14073,9,0.416666667,-0.375,0.125,1.1875,0.1875,0,0,7,0.5625
320.096505,16,19,4,1,1,0,320.096505,8,0.333333333,-0.375,0.25,1.1875,0.0625,0.0625,0,4,0.5
352.086563,16,19,6,1,1,0,352.086563,8,0.272727273,-0.125,0.375,1.1875,0.0625,0.0625,0,2,0.5
325.085547,16,19,5,0,0,1,325.085547,7,0.333333333,-0.5625,0.3125,1.1875,0,0,0.0625,2,0.4375
271.14492,16,20,2,2,0,0,271.14492,8,0.384615385,-0.625,0.125,1.25,0.125,0,0,6,0.5
339.091116,16,20,6,0,1,0,339.091116,7,0.25,-0.375,0.375,1.25,0,0.0625,0,1,0.4375
304.166989,16,23,3,3,0,0,304.166989,7,0.217391304,-0.5,0.1875,1.4375,0.1875,0,0,4,0.4375
384.124458,16,23,6,3,1,0,384.124458,7,0,0,0.375,1.4375,0.1875,0.0625,0,1,0.4375
260.165826,16,23,2,1,0,0,260.165826,6,0.285714286,-1,0.125,1.4375,0.0625,0,0,4,0.375
345.111481,16,23,6,0,0,1,345.111481,5,0.153846154,-0.6875,0.375,1.4375,0,0,0.0625,-1,0.3125
399.15286,16,24,8,4,0,0,399.15286,7,-0.125,0.25,0.5,1.5,0.25,0,0,-1,0.4375
306.182404,16,25,3,3,0,0,306.182404,6,0.130434783,-0.625,0.1875,1.5625,0.1875,0,0,3,0.375
347.12715,16,25,6,0,0,1,347.12715,4,0.076923077,-0.8125,0.375,1.5625,0,0,0.0625,-2,0.25
